"Modelo","Introduccion","Colores","Gama","Detalle Version","Año","Precio USD","Cuota Bancaria","URL PDF","URL Video"
"New Picanto","El Kia Picanto es un hatchback compacto y versátil que destaca por su diseño moderno y ágil en la ciudad.","Blanco Claro","Intermedia","PICANTO ACTIVE 1.2L AT","2026","$26,900","315","https://drive.google.com/file/d/1VdUp8_1Ggu7usfiyROF83KB_dZZDw2qD/view?usp=drive_link","https://drive.google.com/file/d/1sOj_YBipEg5JLtdD_F7JXYd-5J9IvZta/view?usp=drive_link"
"Soluto","El Kia Soluto es un sedán compacto que combina un alto rendimiento de combustible con gran comodidad en el interior.","Blanco Claro","Intermedia","SOLUTO ACTIVE 1.4L  4AT ","2026","$25,500","299","https://drive.google.com/file/d/1iLGcvM9TiRDSXyahXxP0nNFpPHIt2LfE/view?usp=drive_link","https://drive.google.com/file/d/1hryj_5y6gQC8a4udjLhwBdrLLOQ0Qm0N/view?usp=drive_link"
"All New-K3","El Kia K3 Sedan destaca por su amplio espacio interior, tecnología avanzada y una seguridad de última generación.","Gris Acero","Intermedia","K3 SEDAN ACTIVE 1.4L","2026","$29,900","350","https://drive.google.com/file/d/1TxMzRBNTqGfyu3-0VthfTxPt7r7dM-YU/view?usp=drive_link","https://drive.google.com/file/d/1XS_oLzo2cg6EZYW0hZJyLKshKyf_WERu/view?usp=drive_link"
"All New-K3 Cross","El Kia K3 Cross es un crossover con un diseño deportivo, espacio generoso y tecnología de vanguardia.","Gris Acero","Intermedia","K3 CROSS ACTIVE 1.4L AT","2026","$31,900","374","https://drive.google.com/file/d/1_euXWS-roqvGVL4mfp8YThxnvqHRNAUv/view?usp=drive_link","https://drive.google.com/file/d/1XS_oLzo2cg6EZYW0hZJyLKshKyf_WERu/view?usp=drive_link"
"Sonet","El Kia Sonet es una SUV versátil, diseñada con estilo y eficiencia, perfecta para cualquier aventura.","Blanco nieve con techo negro, Rojo vivido con techo negro","Intermedia","SONET  ELITE 1.5L 6AT","2026","$34,900","409","https://drive.google.com/file/d/1xnPIdbmSVykn1XjKA8uiU_0ryRb9AxKX/view?usp=drive_link","https://drive.google.com/file/d/1yfKXXEdHwPAwskXiRtnu_LzVVspQJrcC/view?usp=drive_link"
"New Seltos","El Kia Seltos ofrece una dinámica conducción en una SUV que combina estilo, gran espacio interior y seguridad completa.","Blanco Claro, Gris Gravedad, Negro, Plata Brillante, Rojo Vivido","Entrada","SELTOS RAC 1.5L 6AT","2026","$36,900","432","https://drive.google.com/file/d/1al_R2NMBvGbJt5m7SC32nhGBMbqj4Mpk/view?usp=drive_link","https://drive.google.com/file/d/1DhxXytVOQP_uUhXfhM-u_EtuZADmp6Mc/view?usp=drive_link"
"New Seltos","El Kia Seltos ofrece una dinámica conducción en una SUV que combina estilo, gran espacio interior y seguridad completa.","Blanco Claro, Gris Gravedad, Negro, Plata Brillante, Rojo Vivido, Verde Olivo","Intermedia","SELTOS  ELITE 1.5L 6AT","2026","$36,900","432","https://drive.google.com/file/d/1al_R2NMBvGbJt5m7SC32nhGBMbqj4Mpk/view?usp=drive_link","https://drive.google.com/file/d/1DhxXytVOQP_uUhXfhM-u_EtuZADmp6Mc/view?usp=drive_link"
"New Seltos","El Kia Seltos ofrece una dinámica conducción en una SUV que combina estilo, gran espacio interior y seguridad completa.","Blanco Claro, Gris Gravedad, Negro, Plata Brillante, Rojo Vivido, Verde Olivo","Tope","SELTOS  GT 1.5L 6AT","2026","$38,900","456","https://drive.google.com/file/d/1al_R2NMBvGbJt5m7SC32nhGBMbqj4Mpk/view?usp=drive_link","https://drive.google.com/file/d/1DhxXytVOQP_uUhXfhM-u_EtuZADmp6Mc/view?usp=drive_link"
"New Sorento","El Kia Sorento es una SUV premium de 3 filas, con un potente motor, interior amplio y tecnología de última generación.","Blanco Nieve","Intermedia","SORENTO ELITE 4X2 2.5 GASOLINA","2025","$68,900","807","https://drive.google.com/file/d/1AxmXiviXQ-r0zzVkKKbuGCQ88Rkha-q4/view?usp=drive_link","https://drive.google.com/file/d/1a7SD3PM7nx8ZucrjxoqW_znR1_UfqVbK/view?usp=drive_link"
"New Sorento","El Kia Sorento es una SUV premium de 3 filas, con un potente motor, interior amplio y tecnología de última generación.","Blanco Nieve","Intermedia","SORENTO ELITE 4X2 2.2 TURBO-DIESEL","2026","$68,900","807","https://drive.google.com/file/d/1AxmXiviXQ-r0zzVkKKbuGCQ88Rkha-q4/view?usp=drive_link","https://drive.google.com/file/d/1a7SD3PM7nx8ZucrjxoqW_znR1_UfqVbK/view?usp=drive_link"
"New Sorento","El Kia Sorento es una SUV premium de 3 filas, con un potente motor, interior amplio y tecnología de última generación.","Blanco Nieve","Tope","SORENTO PLATINUM CLASS 4X4 2.2 TURBO-DIESEL ","2026","$78,900","924","https://drive.google.com/file/d/1AxmXiviXQ-r0zzVkKKbuGCQ88Rkha-q4/view?usp=drive_link","https://drive.google.com/file/d/1a7SD3PM7nx8ZucrjxoqW_znR1_UfqVbK/view?usp=drive_link"
"New Sorento","El Kia Sorento es una SUV premium de 3 filas, con un potente motor, interior amplio y tecnología de última generación.","Blanco Nieve","Tope","SORENTO PLATINUM CLASS 4X4 2.2 TURBO-DIESEL ","2026","$77,900","912","https://drive.google.com/file/d/1AxmXiviXQ-r0zzVkKKbuGCQ88Rkha-q4/view?usp=drive_link","https://drive.google.com/file/d/1a7SD3PM7nx8ZucrjxoqW_znR1_UfqVbK/view?usp=drive_link"
"Carnival","El Kia Carnival es un vehículo multipropósito de 8 asientos, con diseño exterior moderno y lujoso interior, ideal para viajes con estilo y comodidad.","Azul Astra, Blanco Nieve, Gris Pantera, Negro","Tope","versión 3.5 AT - EX Full De Luxe","2025","$53,990","866","https://drive.google.com/file/d/16phdq8dLzUMIQZaGhkj2yxHNrJL8lyg2/view?usp=drive_link","https://drive.google.com/file/d/1a7SD3PM7nx8ZucrjxoqW_znR1_UfqVbK/view?usp=drive_link"
"All New-Niro Hibrido","El Kia Niro HEV es una SUV híbrida que maximiza el rendimiento de combustible y minimiza emisiones, sin necesidad de enchufes.","Azul Mineral, Blanco Nieve, Gris Interestelar, Verde Cityscape","Entrada","versión 1.6 DCT - EX Sport","2025","$34,990","900","https://drive.google.com/file/d/1D2LqMCcC3R9_5ujKYIjfLCr9JhA0HVke/view?usp=drive_link","https://drive.google.com/file/d/1a7SD3PM7nx8ZucrjxoqW_znR1_UfqVbK/view?usp=drive_link"
