Marca,Modelo,Introduccion De Modelo,Caracteristicas Generales,Colores Disponibles,Variante,Version / Gama,Detalle De Version,Año Modelo,Precio lista Usd,Tipo De Carroceria (SUV / Sedan),Motor Cilindros,Cilindrada Combustible Tipo,Tipo de gama,Descripción del modelo,Transmisión / Caja / Versión,Garantía,Potencia,Torque,Distancia Entre Ejes,Tamaño Aros,Dimensiones,¿Puede comprar paquete de mantenimiento prepagado (Kia Full Service)?,Primer servicio de mantenimiento,Frecuencia de mantenimiento,Sunroof,Capacidad de la maletera,Espejos eléctricos,Aire acondicionado,Radio Táctil,Cámara de retroceso,Airbags,Sistema de frenos,Tipo de frenos,Alzavidrios eléctricos,Volante forrado en cuero,Sensores de estacionamiento,Faros delanteros LED,Faros posteriores LED,Faros Neblineros,Panel de instrumentos,Tipo de llave,Conectividad de la radio,Suspensión delanteros,Suspensión posteriores,Llanta de repuesto,Cargador inalámbrico,Material de asientos,Maletero inteligente,Asistencia de Prevención de Colisión Frontal - FCA,Asistencia de Prevención de Colisión en el Punto Ciego - BCA,Asistencia de Mantenimiento de Carril - LKA,Asistencia de Prevención de Colisión con Tráfico Cruzado Trasero - RCCA,Asistencia de Seguimiento de Carril - LFA,Control crucero,Rieles en el techo,Freno de estacionamiento,Número de asientos,Tracción,Monitor de punto ciego,Asientos eléctricos,Autonomía (EV)
Lynk & Co,1,"SUV de enfoque premium, que combina diseño escandinavo, tecnología avanzada y motorizaciones eficientes.","•	Motor 2000cc turbo de 218hp y 325 NM
•	Transmisión automática de 8 velocidades y 3 modos de manejo
•	Sistema de sonido Infinity con 10 parlantes
•	Más de 20 ADAS
•	Pantalla central táctil 12,7” con conectividad Apple Car Play & Android Auto
•	Asientos deportivos en cuero y alcántara","Blanco, Gris y Negro",NO TENGO,Tope Gama,LYNK & CO 01 HYPER HALO 2.0T A/T,2025,Desde $45.900,SUV,4 cilindros,Motor de 2000 centímetros cúbicos a gasolina Turbo inyectado,SUV,"SUV de enfoque premium, que combina diseño escandinavo, tecnología avanzada y motorizaciones eficientes.",8AT,"5 años o 150,000 kilómetros (lo que ocurra primero)",218 caballos de fuerza,Cuenta con 325 newton-metro (NM),"La distancia entre ejes es de: 2,734mm","Cuenta con aros de 20""",Las medidas del vehiculo son Largo: 4549 / Ancho: 1860 / Alto: 1689 (mm),Se puede adquirir el beneficio.,"5,000 Km o 6 meses (lo que ocurra primero)","Cada 5,000 Km o 6 meses (lo que ocurra primero)",SI,466 Litros,SI,BI ZONA DIGITAL,"12,7”",SI,"(06) Airbags: Frontales, Laterales y de Cortina",Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos delanteros y traseros de Discos Ventilados,SI,SI,SI,MATRIX LED,SI,SI,"12,3""",Tipo control,Apple Car Play & Android Auto,Mc Pherson,Multibrazo,Emergencia,SI,CUERO,SI,SI,SI,SI,SI,SI,ADAPTATIVO,SI,ELECTRICO,5,FWD,SI,SI,N/A
Lynk & Co,2,"Crossover de estilo deportivo y urbano, que destaca por su diseño moderno, conectividad y experiencia de manejo dinámica, 100% electrico","•	Batería de 66 kWh y motor de 272hp
•	Autonomía de 465/435 km WLTP
•	De 0 a 100 en 5.5 segundos
•	Pantalla central táctil de 15.4” con conectividad Apple Car Play & Android Auto
•	Sistema de sonido Harman Kardon
