Marca,Modelo,Introduccion De Modelo,Caracteristicas Generales,Colores Disponibles,Variante,Version / Gama,Detalle De Version,Año Modelo,Precio lista Usd,Tipo De Carroceria (SUV / Sedan),Motor Cilindros,Cilindrada Combustible Tipo,Tipo de gama,Descripción del modelo,Transmisión / Caja / Versión,Garantía,Potencia,Torque,Distancia Entre Ejes,Tamaño Aros,Dimensiones,¿Puede comprar paquete de mantenimiento prepagado (Kia Full Service)?,Primer servicio de mantenimiento,Frecuencia de mantenimiento,Sunroof,Capacidad de la maletera,Espejos eléctricos,Aire acondicionado,Radio Táctil,Cámara de retroceso,Airbags,Sistema de frenos,Tipo de frenos,Alzavidrios eléctricos,Volante forrado en cuero,Sensores de estacionamiento,Faros delanteros LED,Faros posteriores LED,Faros Neblineros,Panel de instrumentos,Tipo de llave,Conectividad de la radio,Suspensión delanteros,Suspensión posteriores,Llanta de repuesto,Cargador inalámbrico,Material de asientos,Maletero inteligente,Asistencia de Prevención de Colisión Frontal - FCA,Asistencia de Prevención de Colisión en el Punto Ciego - BCA,Asistencia de Mantenimiento de Carril - LKA,Asistencia de Prevención de Colisión con Tráfico Cruzado Trasero - RCCA,Asistencia de Seguimiento de Carril - LFA,Control crucero,Rieles en el techo,Freno de estacionamiento,Número de asientos,Tracción,Monitor de punto ciego,Asientos eléctricos,Autonomía (EV)
Mazda,MAZDA3 TOURING,"Un sedán elegante que combina diseño, eficiencia y tecnología.","1.	Motor 2.0 Turbo, 153Hp y 200 Nm
2.	7 Airbags
3.	Cámara 360”
4.	Paquete de ADAS
5.	Head-up display (holograma en parabrisas)","Blanco perlado, Polimetal Gris, Plateado, Machine Gris, Rojo",BJAH LAN,Tope Sedan,MAZDA3 TOURING 2.0L,2026,Desde $42.900,Sedan,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-Drive automática de 6 velocidades,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 153 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,725 mm","Cuenta con aros de 18""",Las medidas del vehiculo son Longitud: 4.660 / Ancho: 1.795 / Altura: 1.440,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",NO,454 Litros,SI,A/C automático con doble zona,"8,8""",SI,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Frenos de potencia de disco ventilados delanteros y disco sólido trasero,SI,SI,SI (Delanteros y traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,SI,Cuero,NO,NO,SI,SI,NO,NO,SI,NO,Eléctrico,5,2WD,SI,SI,N/A
Mazda,MAZDA CX-30 SELECT,"SUV compacto con estilo refinado, que ofrece confort, seguridad y una experiencia de manejo ágil y eficiente.","1.	7 bolsas de aire
2.	Salida de aire en la segunda fila de asientos
3.	Luces Bi-led automáticas
4.	AC bizona
5.	Autohold","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",DSAC LAS,Entrada,MAZDA CX-30 SELECT 2.0L,2026,Desde $40.900,SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-G automática de 6 velocidades Sport-tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 153 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,655 mm","Cuenta con aros de 18""",Las medidas del vehiculo son Longitud: 4.395 / Ancho: 1.795 / Altura: 1.540,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",NO,572 Litros,SI,A/C automático de doble zona,"8""",SI,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,NO,Tela,NO,NO,NO,NO,NO,NO,SI,SI,Eléctrico,5,2WD,NO,NO,N/A
Mazda,MAZDA CX-30 TOURING,"SUV compacto con estilo refinado, que ofrece confort, seguridad y una experiencia de manejo ágil y eficiente.","1.	Compuerta electica
2.	Cargador inalámbrico
3.	Head up Display (Proyección tipo holograma en el parabrisas)
4.	Paddle Shifts (Cambios tipo paletas en el volante)
5.	Aviso de punto ciego y tráfico cruzado
6.	7 bolsas de aire","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",DSAC LAP,Entrada,MAZDA CX-30 Touring 2.0L,2026,Desde $41.900,SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-G automática de 6 velocidades Sport-tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 153 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,655 mm","Cuenta con aros de 18""",Las medidas del vehiculo son Longitud: 4.395 / Ancho: 1.795 / Altura: 1.540,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",NO,573 Litros,SI,A/C automático de doble zona,"8""",SI,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,SI,Tela,NO,NO,NO,NO,NO,NO,SI,SI,Eléctrico,5,2WD,SI,NO,N/A
Mazda,MAZDA CX-30 TOURING 4X4,"SUV compacto con estilo refinado, que ofrece confort, seguridad y una experiencia de manejo ágil y eficiente.","1.	Tracción en la 4 llantas (AWD/4x4)
2.	Asientos en cuero
3.	Sunroof
4.	Cámara 360
5.	Sistema de luces adaptativas","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",DSAF LAP,Tope de Gama,MAZDA CX-30 TOURING 2.0L 4x4,2026,Desde $47.900,SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-G automática de 6 velocidades Sport-tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 153 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,655 mm","Cuenta con aros de 18""",Las medidas del vehiculo son Longitud: 4.395 / Ancho: 1.795 / Altura: 1.540,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",SI,574 Litros,SI,A/C automático de doble zona,"8""",SI,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,SI,Cuero,NO,NO,SI,NO,SI,NO,SI,SI,Eléctrico,5,AWD (4X4),SI,SI,N/A
Mazda,MAZDA CX-30 JINBA-ITTAI 4X4,"SUV compacto con estilo refinado, que ofrece confort, seguridad y una experiencia de manejo ágil y eficiente.","1.	Tracción en la 4 llantas (AWD/4x4)
2.	Asientos en cuero
3.	Sunroof
4.	Cámara 360
5.	Asientos deportivos
6.	Paquete de aros color negro","Azul, Beige, Blanco, Gris, Negro, plateado y Rojo",DSAF LAL,Tope de Gama,MAZDA CX-30 Jinba-Ittai 4X4 2.0L,2025,Desde $41.900 (Precio de liquidación),SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-G automática de 6 velocidades Sport-tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 153 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,655 mm","Cuenta con aros de 18""",Las medidas del vehiculo son Longitud: 4.395 / Ancho: 1.795 / Altura: 1.540,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",SI,575 Litros,SI,A/C automático de doble zona,"8""",SI,7 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,SI,Eco-Cuero Terracota con Gamuza Negra,SI,NO,SI,NO,SI,NO,SI,SI,Eléctrico,5,AWD (4X4),SI,SI,N/A
Mazda,MAZDA CX-5 select,"SUV versátil y elegante, que equilibra perfectamente espacio, tecnología y desempeño para el uso diario y viajes en familia.","1.	Cargador inalámbrico
2.	Paddle Shift (paletas de cambio en el volante)
3.	Aire acondicionado Bi-zona
4.	Aros 19""
5.	Sensores de proximidad (delantero y trasero)","Azul, Beige, Blanco, Gris, plateado y Rojo",KGTG LBC,Entrada,MAZDA CX-5 SELECT 2.0L,2026,Desde $45.900,SUV,4 Cilindros,Gasolina,N/A,N/A,Transmisión SKYACTIV-G automática de 6 velocidades Sport-tronic,La cobertura básica es de 3 años o 100.000 km (*ver nuestras condiciones en nuestras sucursales),Motor con 153 caballos de fuerza,El motor produce un torque de 200 NM,"La distancia entre ejes es de 2,700 mm","Cuenta con aros de 19""",Las medidas del vehiculo son Longitud: 4.575 / Ancho: 1.845 / Altura: 1.680,N/A,"5,000 Km o 6 meses (lo que ocurra primero)","5,000 Km o 6 meses (lo que ocurra primero)",NO,578 Litros,SI,A/C automático de doble zona,"10,25""",SI,6 Airbags,Sistema de frenos ABS + EBD (Antibloqueo de Ruedas),Disco delantero y trasero,SI,SI,SI (Delanteros y traseros),SI,SI,SI,"7""",Smart Key,Apple Car Play & Android Auto inalámbrico,Independiente McPherson,Eje de torsión,SI,SI,Tela,NO,NO,NO,NO,SI,NO,SI,NO,Eléctrico,5,2WD,NO,NO,N/A
Mazda,MAZDA CX-5 TOURING,"SUV versátil y elegante, que equilibra perfectamente espacio, tecnología y desempeño para el uso diario y viajes en familia.","1.	Tapicería de cuero color negro
2.	Head-up Display (holograma en el parabrisas)
3.	Sensor de lluvia de luces automáticas
4.	Espacio amplio de cajuela (578L)
